TABLE_CAT,TABLE_SCHEM,TABLE_NAME,TABLE_TYPE
C0000052267P_1_KOR00000000,dbo,ADPCode,TABLE
C0000052267P_1_KOR00000000,dbo,ADPExport,TABLE
C0000052267P_1_KOR00000000,dbo,AICache,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalDocuments,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalMaster,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalNotes,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalPO,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalWBS,TABLE
C0000052267P_1_KOR00000000,dbo,APApprovalWBSTax,TABLE
C0000052267P_1_KOR00000000,dbo,APDocuments,TABLE
C0000052267P_1_KOR00000000,dbo,APDocumentsDetail,TABLE
C0000052267P_1_KOR00000000,dbo,APExpenseCodeOT,TABLE
C0000052267P_1_KOR00000000,dbo,APExpenseCodeOTCodes,TABLE
C0000052267P_1_KOR00000000,dbo,APInvoiceCustomFields,TABLE
C0000052267P_1_KOR00000000,dbo,AR,TABLE
C0000052267P_1_KOR00000000,dbo,ARC,TABLE
C0000052267P_1_KOR00000000,dbo,ARCreditMemo,TABLE
C0000052267P_1_KOR00000000,dbo,ARPreInvoice,TABLE
C0000052267P_1_KOR00000000,dbo,ARPreInvoiceDetail,TABLE
C0000052267P_1_KOR00000000,dbo,AbraDataDictionary,TABLE
C0000052267P_1_KOR00000000,dbo,AbraDefaultMapping,TABLE
C0000052267P_1_KOR00000000,dbo,AbraInterface,TABLE
C0000052267P_1_KOR00000000,dbo,AbraMapping,TABLE
C0000052267P_1_KOR00000000,dbo,AbsenceRequests,TABLE
C0000052267P_1_KOR00000000,dbo,AbsenceRequestsHours,TABLE
C0000052267P_1_KOR00000000,dbo,AccountCustomTabFields,TABLE
C0000052267P_1_KOR00000000,dbo,Activity,TABLE
C0000052267P_1_KOR00000000,dbo,ActivityCustomTabFields,TABLE
C0000052267P_1_KOR00000000,dbo,ActivityFileLinks,TABLE
C0000052267P_1_KOR00000000,dbo,ActivityReminder,TABLE
C0000052267P_1_KOR00000000,dbo,ActivitySubscr,TABLE
C0000052267P_1_KOR00000000,dbo,ActuateReportServers,TABLE
C0000052267P_1_KOR00000000,dbo,AlertsDashboard,TABLE
C0000052267P_1_KOR00000000,dbo,AlertsData,TABLE
C0000052267P_1_KOR00000000,dbo,AlertsDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesCalcMeasureData,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesCalcMeasureDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesCurrencyExchange,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesFilteringData,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesFilteringDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesKPIData,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesKPIDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesKPIOverride,TABLE
C0000052267P_1_KOR00000000,dbo,AnalysisCubesServer,TABLE
C0000052267P_1_KOR00000000,dbo,ApiAuthenticationCode,TABLE
C0000052267P_1_KOR00000000,dbo,ApiAuthorization,TABLE
C0000052267P_1_KOR00000000,dbo,ApiAuthorizationByUser,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalActionEmails,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalActionNotification,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalAssignmentHierarchy,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalConditions,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalErrorLog,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalItem,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalItemHistory,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalRoleAssignment,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalWorkflow,TABLE
C0000052267P_1_KOR00000000,dbo,ApprovalWorkflowActions,TABLE
C0000052267P_1_KOR00000000,dbo,AuditTrail,TABLE
C0000052267P_1_KOR00000000,dbo,BIED,TABLE
C0000052267P_1_KOR00000000,dbo,BIEDTax,TABLE
C0000052267P_1_KOR00000000,dbo,BILD,TABLE
C0000052267P_1_KOR00000000,dbo,BILDCustomFields,TABLE
C0000052267P_1_KOR00000000,dbo,BT,TABLE
C0000052267P_1_KOR00000000,dbo,BTA,TABLE
C0000052267P_1_KOR00000000,dbo,BTBG,TABLE
C0000052267P_1_KOR00000000,dbo,BTBGSubs,TABLE
C0000052267P_1_KOR00000000,dbo,BTDefaults,TABLE
C0000052267P_1_KOR00000000,dbo,BTDefaultsTaxCodes,TABLE
C0000052267P_1_KOR00000000,dbo,BTEA,TABLE
C0000052267P_1_KOR00000000,dbo,BTEAAccts,TABLE
C0000052267P_1_KOR00000000,dbo,BTEC,TABLE
